seed,episode,soups,sampled_roles,teacher_roles,observed_roles
0,0,0.0,1-0-0,1-0-0,1-0-1
0,1,0.0,2-0-1,2-0-1,1-0-1
0,2,3.0,2-0-2,2-0-2,1-0-1
0,3,4.0,2-2-0,2-2-0,2-0-1
0,4,0.0,0-0-1,0-0-1,2-0-1
0,5,4.0,2-1-2,2-1-2,2-0-1
0,6,6.0,1-2-0,1-2-0,2-0-0
0,7,4.0,1-2-1,1-2-1,2-0-1
0,8,3.0,0-2-2,0-2-2,2-0-1
0,9,0.0,1-0-1,1-0-0,2-0-1
0,10,4.0,2-1-1,1-2-0,2-0-0
0,11,0.0,1-2-1,1-0-0,2-0-0
0,12,3.0,2-0-2,2-0-2,1-0-0
0,13,4.0,0-2-2,0-2-2,1-0-0
0,14,0.0,0-0-1,2-2-0,2-0-0
0,15,0.0,0-2-2,2-2-0,2-0-0
0,16,0.0,1-1-0,0-2-2,1-0-0
0,17,0.0,0-1-0,2-1-2,1-0-0
0,18,0.0,1-1-0,2-2-0,2-0-0
0,19,0.0,1-1-0,1-2-0,2-2-0
0,20,0.0,0-2-0,1-2-0,2-2-0
0,21,4.0,2-0-0,2-0-0,2-2-0
0,22,0.0,0-1-0,2-2-0,2-2-0
0,23,0.0,0-1-2,1-2-1,2-2-0
0,24,3.0,1-2-2,2-1-2,2-2-0
0,25,0.0,2-2-2,1-2-1,2-2-0
0,26,0.0,1-1-2,1-2-0,2-2-0
0,27,0.0,2-0-0,2-1-2,2-2-0
0,28,1.0,0-2-0,2-2-0,2-2-0
0,29,3.0,2-2-0,1-2-0,2-2-0
0,30,0.0,2-2-2,2-1-2,2-2-0
0,31,0.0,1-0-0,2-0-0,2-2-0
0,32,6.0,0-2-1,0-2-1,2-2-0
0,33,1.0,0-0-2,1-2-0,2-2-0
0,34,0.0,0-1-1,2-1-2,2-2-0
0,35,6.0,1-0-2,1-0-2,2-2-0
0,36,3.0,2-1-2,1-2-1,2-2-0
0,37,4.0,2-0-0,1-2-0,2-2-0
0,38,4.0,0-2-2,1-0-2,2-2-0
0,39,6.0,2-1-0,2-1-0,2-2-0
0,40,0.0,1-0-0,1-2-1,2-2-0
0,41,0.0,2-0-0,0-2-2,1-2-0
0,42,4.0,2-0-2,1-2-0,1-2-0
0,43,4.0,1-2-2,2-1-0,1-2-0
0,44,4.0,1-2-2,1-2-1,1-2-0
0,45,0.0,1-0-2,0-2-2,1-2-0
0,46,0.0,1-0-1,2-1-0,1-2-0
0,47,6.0,1-0-2,1-0-2,1-2-0
0,48,0.0,1-1-0,1-0-2,1-2-0
0,49,4.0,2-1-2,2-1-0,1-2-0
0,50,0.0,0-1-1,0-2-2,1-2-0
0,51,0.0,2-2-2,0-2-1,1-2-0
0,52,0.0,0-1-0,1-0-2,1-2-0
0,53,0.0,1-0-0,1-2-0,1-2-2
0,54,6.0,2-0-1,2-0-1,1-2-0
0,55,4.0,1-2-2,0-2-1,1-2-0
0,56,0.0,0-1-0,1-2-0,1-2-2
0,57,0.0,0-1-0,2-0-1,1-2-0
0,58,6.0,0-1-2,0-1-2,1-2-2
0,59,4.0,2-0-0,0-2-1,1-2-0
0,60,0.0,2-2-2,0-2-2,1-2-2
0,61,4.0,2-0-0,1-0-2,1-2-2
0,62,0.0,0-1-1,0-1-2,1-2-2
0,63,4.0,2-1-2,0-2-2,1-2-2
0,64,4.0,2-2-1,1-0-2,1-2-2
0,65,4.0,1-1-2,0-2-2,1-2-2
0,66,0.0,2-2-2,2-0-1,1-2-2
0,67,4.0,1-1-2,0-2-1,1-2-2
0,68,6.0,2-0-1,1-0-2,1-2-2
0,69,0.0,1-0-1,0-1-2,1-2-2
0,70,0.0,0-1-1,2-0-1,1-2-2
0,71,6.0,2-0-1,1-0-2,1-2-2
0,72,4.0,2-1-1,0-2-1,1-2-2
0,73,0.0,1-1-0,1-0-2,1-2-2
0,74,0.0,0-2-2,0-1-2,0-2-2
0,75,0.0,1-1-1,0-2-2,0-2-2
0,76,0.0,0-1-0,0-2-2,0-2-2
0,77,3.0,1-2-2,0-2-2,0-2-2
0,78,0.0,0-0-0,0-2-1,0-2-2
0,79,6.0,1-2-0,1-2-0,0-2-2
0,80,0.0,0-0-0,0-2-2,0-2-2
0,81,6.0,2-1-0,1-0-2,0-2-2
0,82,0.0,1-1-1,1-2-0,0-2-2
0,83,6.0,2-1-0,2-1-0,0-2-2
0,84,0.0,2-0-2,1-0-2,0-2-2
0,85,6.0,1-0-2,0-2-1,0-2-2
0,86,0.0,0-2-1,1-2-0,0-2-2
0,87,3.0,2-2-1,0-2-1,0-2-2
0,88,3.0,0-2-2,1-0-2,0-2-2
0,89,0.0,2-0-2,1-2-0,0-2-2
0,90,0.0,0-1-1,0-2-1,0-2-2
0,91,6.0,1-2-0,0-2-1,0-2-2
0,92,0.0,2-2-0,2-1-0,0-2-2
0,93,6.0,0-1-2,0-1-2,0-2-2
0,94,0.0,0-0-0,0-1-2,0-2-2
0,95,6.0,0-2-1,0-1-2,0-2-2
0,96,2.0,0-0-2,0-1-2,0-2-2
0,97,4.0,2-2-0,1-2-0,0-2-1
0,98,4.0,1-1-2,1-0-2,0-2-2
0,99,6.0,2-0-1,0-1-2,0-2-2
0,100,4.0,1-1-2,1-2-0,0-2-1
0,101,6.0,1-0-2,0-1-2,0-2-2
0,102,0.0,1-1-0,1-2-0,0-2-1
0,103,6.0,0-2-1,0-2-1,0-2-2
0,104,0.0,1-2-1,0-2-1,0-2-1
0,105,4.0,2-2-1,0-2-1,0-2-2
0,106,1.0,0-0-2,0-2-1,0-2-2
0,107,0.0,0-0-2,1-2-0,0-2-1
